"date","price"
"2000-01-01",284.59
"2000-02-01",300.855
"2000-03-01",286.704
"2000-04-01",279.961
"2000-05-01",275.293
"2000-06-01",285.368
"2000-07-01",282.152
"2000-08-01",274.523
"2000-09-01",273.676
"2000-10-01",270.405
"2000-11-01",265.989
"2000-12-01",271.892
"2001-01-01",265.934
"2001-02-01",262.018
"2001-03-01",263.273
"2001-04-01",260.75
"2001-05-01",272.057
"2001-06-01",270.738
"2001-07-01",267.707
"2001-08-01",272.657
"2001-09-01",282.478
"2001-10-01",283.322
"2001-11-01",276.248
"2001-12-01",275.992
"2002-01-01",281.764
"2002-02-01",295.683
"2002-03-01",294.353
"2002-04-01",302.862
"2002-05-01",314.48
"2002-06-01",321.536
"2002-07-01",313.567
"2002-08-01",310.045
"2002-09-01",318.8
"2002-10-01",316.748
"2002-11-01",319.255
"2002-12-01",333.3
"2003-01-01",356.864
"2003-02-01",359.575
"2003-03-01",341.564
"2003-04-01",328.208
"2003-05-01",355.405
"2003-06-01",356.912
"2003-07-01",350.765
"2003-08-01",358.993
"2003-09-01",378.859
"2003-10-01",379.093
"2003-11-01",390.2
"2003-12-01",407.674
"2004-01-01",414.495
"2004-02-01",404.73
"2004-03-01",405.976
"2004-04-01",404.85
"2004-05-01",383.953
"2004-06-01",391.78
"2004-07-01",398.441
"2004-08-01",400.133
"2004-09-01",405.402
"2004-10-01",420.21
"2004-11-01",439.059
"2004-12-01",442.974
"2005-01-01",424.08
"2005-02-01",423.43
"2005-03-01",434.355
"2005-04-01",429.14
"2005-05-01",422.903
"2005-06-01",430.302
"2005-07-01",424.745
"2005-08-01",437.773
"2005-09-01",455.936
"2005-10-01",470.107
"2005-11-01",476.668
"2005-12-01",509.423
"2006-01-01",549.433
"2006-02-01",555.518
"2006-03-01",557.215
"2006-04-01",611.853
"2006-05-01",676.769
"2006-06-01",597.898
"2006-07-01",633.093
"2006-08-01",631.557
"2006-09-01",600.15
"2006-10-01",586.648
"2006-11-01",626.825
"2006-12-01",629.513
"2007-01-01",630.352
"2007-02-01",665.103
"2007-03-01",655.891
"2007-04-01",680.008
"2007-05-01",668.31
"2007-06-01",655.714
"2007-07-01",665.266
"2007-08-01",664.53
"2007-09-01",710.645
"2007-10-01",754.48
"2007-11-01",808.311
"2007-12-01",803.618
"2008-01-01",887.784
"2008-02-01",924.283
"2008-03-01",971.055
"2008-04-01",911.6
"2008-05-01",889.125
"2008-06-01",889.536
"2008-07-01",941.167
"2008-08-01",840.388
"2008-09-01",824.92
"2008-10-01",812.815
"2008-11-01",757.85
"2008-12-01",819.94
"2009-01-01",857.726
"2009-02-01",939.763
"2009-03-01",925.989
"2009-04-01",892.663
"2009-05-01",926.855
"2009-06-01",947.807
"2009-07-01",934.272
"2009-08-01",949.5
"2009-09-01",996.443
"2009-10-01",1043.511
"2009-11-01",1126.119
"2009-12-01",1135.012
"2010-01-01",1119.575
"2010-02-01",1095.8
"2010-03-01",1115.554
"2010-04-01",1148.475
"2010-05-01",1204.321
"2010-06-01",1232.382
"2010-07-01",1196
"2010-08-01",1213.464
"2010-09-01",1271.461
"2010-10-01",1343.19
"2010-11-01",1371.784
"2010-12-01",1393.512
"2011-01-01",1360.475
"2011-02-01",1371.313
"2011-03-01",1422.848
"2011-04-01",1474.431
"2011-05-01",1512.188
"2011-06-01",1528.38
"2011-07-01",1568.526
"2011-08-01",1759.5
"2011-09-01",1780.648
"2011-10-01",1667.893
"2011-11-01",1735.977
"2011-12-01",1652.725
"2012-01-01",1656.095
"2012-02-01",1743.095
"2012-03-01",1675.057
"2012-04-01",1648.539
"2012-05-01",1585.114
"2012-06-01",1595.632
"2012-07-01",1592.784
"2012-08-01",1625.682
"2012-09-01",1741.925
"2012-10-01",1746.348
"2012-11-01",1724.352
"2012-12-01",1687.342
"2013-01-01",1671.886
"2013-02-01",1630.688
"2013-03-01",1591.013
"2013-04-01",1485.905
"2013-05-01",1416.143
"2013-06-01",1342.7
"2013-07-01",1284.348
"2013-08-01",1345.048
"2013-09-01",1348.464
"2013-10-01",1314.402
"2013-11-01",1277.417
"2013-12-01",1221.588
"2014-01-01",1243.068
"2014-02-01",1298.713
"2014-03-01",1336.56
"2014-04-01",1299.175
"2014-05-01",1288.913
"2014-06-01",1277.857
"2014-07-01",1312.989
"2014-08-01",1297.005
"2014-09-01",1241.33
"2014-10-01",1223.565
"2014-11-01",1176.413
"2014-12-01",1200.44
"2015-01-01",1249.333
"2015-02-01",1231.1
"2015-03-01",1180.636
"2015-04-01",1198.253
"2015-05-01",1197.684
"2015-06-01",1182.248
"2015-07-01",1131.58
"2015-08-01",1117.525
"2015-09-01",1124.905
"2015-10-01",1157.123
"2015-11-01",1088.388
"2015-12-01",1068.317
"2016-01-01",1095.655
"2016-02-01",1194.893
"2016-03-01",1246.312
"2016-04-01",1241.452
"2016-05-01",1259.755
"2016-06-01",1273.58
"2016-07-01",1337.429
"2016-08-01",1340.861
"2016-09-01",1326.618
"2016-10-01",1268.929
"2016-11-01",1240.293
"2016-12-01",1152.165
"2017-01-01",1192.648
"2017-02-01",1233.39
"2017-03-01",1231.063
"2017-04-01",1267.15
"2017-05-01",1245.25
"2017-06-01",1261.277
"2017-07-01",1235.1
"2017-08-01",1281.72
"2017-09-01",1317.045
"2017-10-01",1280.677
"2017-11-01",1283.189
"2017-12-01",1265.674
"2018-01-01",1332.809
"2018-02-01",1333.775
